Genes	H3K4me2_S52267	H3K4me2_S52221
Cyp4a12a	14	7
Abhd5	472	201
Megf8	448	218
Sftpd	22	9
E2f5	288	177
Gm15455	33	16
Pcdhb7	29	9
Gpr101	17	7
Far2	18	5
Zfp746	389	210
Oprd1	81	29
Cabp2	77	26
Lrrc4c	19	10
Opn1sw	52	8
Clec2m	30	15
Hmgcs2	87	22
Slc38a4	45	12
Yipf5	379	161
H2-M9	40	12
Tmcc3	35	27
Kpna7	38	10
Gm12974	365	153
Il6	20	19
Iho1	40	17
C5ar1	35	10
Tfap2d	9	6
Zfp820	156	61
3110009F21Rik	36	17
Etaa1os	245	94
Gm5431	184	109
Ly6f	36	9
Cyp19a1	25	11
Ren2	52	33
Ankfn1	35	14
Lyplal1	65	37
Porcn	182	72
Fgf10	18	8
4933422A05Rik	29	18
Ralgps2	444	210
Nme4	452	207
Nlrp1a	55	33
Nrip2	30	10
Lep	44	14
Eml2	149	77
Actg2	59	7
Oog2	30	5
Mmrn2	41	20
Slc5a9	28	21
Clca2	32	9
Rbms3	35	11
Myh4	23	10
Csrp1	122	57
Evc	27	12
Fam171b	230	111
Kdm4d	488	209
Rhot1	352	131
Sag	44	6
Sec1	91	38
Lyg2	26	12
Fam13c	30	14
Cplx3	56	29
Tubd1	483	218
Zfp773	380	180
Dcp2	446	176
Tsr2	237	94
Prss2	11	4
Noxa1	42	16
Col1a1	256	130
Gm19345	51	25
Tmem179	37	19
Gm12853	34	12
Asf1a	470	204
Gm14525	20	10
Entpd4b	231	139
Fer1l5	43	16
Kcnj15	54	20
Tmem219	65	23
Lrrc15	67	37
Rhox3f	21	8
Rnf141	461	178
Clgn	52	21
Barhl2	273	148
Fcrls	33	13
Gm17124	34	11
Tmem255a	376	173
Cyp11a1	176	70
Il1r2	337	110
Sbk2	101	33
Xkr7	118	47
Ceacam18	47	7
4930591E09Rik	11	2
Cpa4	44	8
Catspere1	26	5
Pcbd2	346	133
Cbx3	411	168
Adgrl3	21	13
Gsdma3	49	7
9230020A06Rik	30	11
Ankdd1a	48	21
Lrrk1	182	115
Gm29514	19	15
Gm31138	21	13
Gm32123	120	66
Prpsap2	270	107
1700039E22Rik	366	178
Cfap43	195	87
Pigr	37	15
Dlx5	28	13
Cldn34c1	293	146
Siglece	52	13
Brca2	345	161
Tmprss11a	27	5
Ak7	41	25
Cntnap2	21	4
Kbtbd8os	298	142
Tlr13	17	10
Gm40178	22	4
Zfp934	297	157
Lrrc17	18	4
Gm21330	0	0
Cmtr2	369	193
Gm32168	100	27
Plscr2	50	9
Psma8	12	8
Olfr58	6	4
Kcnmb1	34	17
Fndc4	444	232
Sema4b	352	176
Ecm2	18	7
Htra3	34	11
Clmn	141	72
Lama2	7	4
Samd15	447	214
Zfp985	34	18
Chrnb2	71	25
Trim47	172	106
Tex21	21	13
Gpr1	19	6
Gprasp1	254	98
Gm4311	55	16
Syt3	169	102
1700110I01Rik	27	9
Usp11	210	86
Sdhc	373	182
Nid2	184	122
Ankrd53	291	129
Fam83c	49	31
4930486L24Rik	19	12
Gm15880	211	102
Bloc1s6	428	218
Gm27198	24	10
Gm34181	29	18
Lemd1	82	49
Cstf2	293	112
Tctn1	414	156
1700001D01Rik	22	10
Serping1	41	12
Chil1	52	11
Fam71f2	44	12
1700011L22Rik	31	16
Tuba1a	310	135
Tnxb	54	18
5430403N17Rik	38	6
A630010A05Rik	20	6
Arr3	20	3
1700092C02Rik	51	14
Stfa2l1	21	8
Gp2	21	14
Nudt12	158	82
Ptk6	67	31
Spdye4a	38	18
Tyw3	395	176
Raver2	385	217
Prss32	56	19
Fbxo16	43	17
Gm12108	25	23
Gm51871	30	8
Pantr2	75	24
Srsf12	450	176
Ddx18	298	148
Snph	181	95
4930507D10Rik	44	11
Nkpd1	96	38
Gm6639	13	4
2310057J18Rik	19	2
Svbp	323	157
Ghdc	394	165
Glt28d2	401	238
Brs3	29	4
Adamtsl5	183	93
Borcs7	174	55
4930453N24Rik	385	179
Dennd10	403	181
Klrb1-ps1	27	12
Phox2a	264	98
Cdrt4os1	38	11
C230029F24Rik	12	1
Cul2	391	180
Aard	28	5
Cmc4	235	100
Cfap299	129	65
Gm4827	38	15
1700092C10Rik	19	7
Tro	81	23
Ms4a12	21	7
Gm4871	43	5
Lmo1	111	39
Ormdl1	374	172
Fan1	354	147
Gm6961	41	8
Lmod1	58	17
Tcaim	420	176
Gpx7	247	118
Pde6h	44	12
Vwa1	432	209
Nlgn1	17	12
Mfrp	89	23
Zfp772	250	95
Ttll4	294	151
Pitx1	22	20
Elavl2	9	5
Gm12925	423	228
Krt81	32	12
Gm14092	23	11
Fbxw17	417	205
Prl8a2	11	5
Csgalnact2	246	119
Gm4850	13	1
Sox11	19	11
Ndufc1	322	140
Aknad1	30	13
Prss1	6	1
Mgat4f	43	19
Chst5	30	11
C730014E05Rik	445	226
Fmo3	26	10
Gm8417	11	5
Gabrd	134	87
Cav2	289	170
Vsx2	141	66
Krt78	29	8
Serpinb9e	30	10
4930515L03Rik	19	6
Mtus1	36	17
Myo16	25	14
Vtn	370	160
1810006J02Rik	322	123
Lhx8	42	20
Slx4	177	96
Olfr1202	11	9
Myo1h	42	20
Il19	39	14
2310043O21Rik	39	12
Ttll3	75	25
Zfp42	22	6
Krt28	31	9
9030625G05Rik	40	22
Ankar	13	8
Tmem26	94	47
Cts3	19	6
Rab23	266	159
Ttll13	236	105
Hsd17b12	425	195
Caps2	26	13
Gm16158	71	45
4930432O09Rik	29	9
Clrn1	23	9
Tead2	81	44
Esp24	10	6
Nprl3	365	168
Uggt2	23	12
Pcsk9	50	41
Dusp26	39	18
Pla2g4d	40	19
Obox6	14	5
Tnfrsf11b	20	3
Gm11944	68	26
Ccdc15	415	205
Dctd	18	13
Prkag2os1	65	27
Slco6c1	17	6
Slc6a11	35	17
4930405O22Rik	27	15
Atf7ip2	37	21
Nr5a2	20	9
Fut1	54	26
Mb	23	20
Gm46458	66	17
Gm20139	26	10
8030443G20Rik	26	9
Rida	411	178
Map1b	422	205
Sumf1	407	197
Ldlrad2	69	23
Gpx5	26	16
Ppp1r14a	307	138
Cndp1	21	14
Rgs4	21	4
Stmn2	27	12
Fscn3	96	52
Mir467a-4	35	14
Dkk1	27	10
Esam	64	33
Dmgdh	34	7
Pitpnm2os1	245	120
Cideb	57	22
A330015K06Rik	19	7
Btk	49	21
Adgrf3	51	15
Pcdhb17	26	7
Mov10l1	21	13
AA792892	37	18
Slc34a3	60	36
1110015O18Rik	5	4
Gm13974	17	8
1700109I08Rik	31	8
Pabpn1l	74	34
Cthrc1	51	27
Sync	350	192
Notum	420	242
4933406J10Rik	38	10
Gm8251	23	9
Hgf	47	19
Luzp4	25	8
Neurod4	25	5
Tarsl2	370	161
Qrfpr	27	7
Stoml3	42	14
Nucks1	444	194
Braf	447	231
2410004I01Rik	49	15
Cabyr	335	128
Minar2	13	4
Fkbp6	31	6
Kcns2	35	16
Eif2s3y	1	0
Tmem242	457	183
Pabpc6	25	8
Heyl	297	165
Nkain4	176	90
Gm6260	13	3
Zcchc18	456	200
Alms1-ps2	25	7
Chgb	45	28
Rap1gap2	114	52
Cgref1	112	41
Igfbp5	21	11
Tmem204	58	21
Adgrb1	39	19
Naa16	507	210
Btbd35f14	12	8
Gm14596	19	9
Vsnl1	24	7
Vegfd	14	7
Obox1	26	7
Trim55	29	18
Gm19299	29	13
Gfm1	440	229
Slc25a5	302	135
Pnn	457	212
Mtmr1	456	199
Triml1	22	7
Ankrd36	40	13
Acyp1	240	99
Kcne2	35	15
Angpt4	49	19
Zfp873	299	141
Gcfc2	308	160
Eno1b	34	23
Gm12298	38	9
Prelid3a	362	196
Aunip	387	129
Ptch2	142	90
