Genes	H3K4me2_S52267	H3K4me2_S52221
Cby1	635	359
Dse	666	317
Lrp8	1827	882
Mtap	689	326
Pdgfb	1557	790
Mllt1	812	391
Snapc2	788	325
Itpr3	1602	746
Nup133	888	410
Gm2788	699	392
Lmbr1	689	290
Gm16938	740	337
Gbf1	711	257
Tpcn2	523	279
Atp2a3	1156	652
Atp5c1	1014	433
Gm15545	1096	470
Arhgap9	2029	962
Cd3e	1619	713
Gmpr2	580	272
Gm21992	875	376
Abcb1b	514	271
Suclg1	724	314
Mdm2	584	271
Map2k3	1252	579
Sgta	519	240
Zranb1	471	244
Slc28a2b	519	251
Cnnm2	1087	560
Pold3	545	274
Csnk2a1	492	226
Zfp369	617	291
B130034C11Rik	617	244
Cs	726	328
Rrp36	602	248
Lsm14a	1154	525
Bcl3	777	355
Dapl1	577	256
Lrfn1	1152	385
Ttc14	574	278
Mpzl1	509	229
Gm39302	935	384
Rnf145	1059	427
Camk2n1	842	489
Lrp8os3	1359	657
Irs1	647	326
Cfap20	478	275
Atp5md	730	342
Septin7	646	282
Wdr74	547	263
Khsrp	909	415
Xkrx	838	365
Dus2	779	373
BC003965	881	386
Ptdss1	860	415
Mvb12b	656	331
Ndufs1	767	335
Txndc15	628	281
Zfp358	550	263
Qdpr	728	326
Api5	646	320
Timm17a	553	222
Dcun1d3	660	276
2810001G20Rik	902	362
Map3k2	762	318
Npepl1	705	369
Cstf2t	510	271
n-R5s123	1777	766
Gcdh	630	262
Ccng1	638	310
Malt1	828	359
St3gal1	1817	923
Ttc21b	598	262
Spaca9	655	299
Xrn1	492	226
Zfp688	626	317
Morn5	522	245
Ciao2a	765	335
Stx1a	1374	636
6030458C11Rik	528	265
Zbed4	491	248
1700066M21Rik	483	299
Gm16618	751	401
Raph1	774	387
Zfp715	680	290
Hsbp1	540	267
Uqcrfs1	470	234
Fhl4	731	376
Ssrp1	660	284
Sgms1	1122	538
4931406C07Rik	528	222
Fkbp11	679	363
Rab13	569	238
Dstn	537	285
Zfp865	493	244
Zfhx2	524	220
Tpbgl	771	441
Sirt1	478	231
Lgals9	1734	790
Acbd6	625	259
Mecr	460	234
Dele1	518	221
1700001O22Rik	586	289
Pon2	580	253
Evi2	780	324
Traip	460	277
Arl4a	701	306
Ralgapa2	599	208
Anxa2	695	347
Cnbd2	663	233
Skap1	1805	742
Zbtb39	578	232
Myb	1308	676
Ube2g2	588	276
Mical1	1232	586
Zhx2	1057	465
Gm33454	817	470
Tprn	1018	470
Kyat1	950	412
Txndc9	972	363
Zfp664	908	477
Kat2b	1316	523
Kifc2	1234	549
E230016M11Rik	867	346
Cyb5d2	748	336
Abcf1	780	331
Glb1l	972	432
Per1	1661	636
Odr4	535	227
Timm22	585	244
Ucp2	2450	985
Arf1	1032	550
Numb	691	264
Septin5	833	478
Zic2	644	354
Atxn7l1	736	335
A930007I19Rik	546	276
Keap1	1287	596
Bik	658	342
Ostm1	678	332
Rtn4rl2	538	256
Gon7	752	295
Rtcb	544	261
Golph3	630	368
1700020L13Rik	728	301
Gm29642	542	272
Dhfr	684	289
Auts2	550	251
Fam76a	712	274
1110002J07Rik	440	246
Eif3l	702	290
Chka	706	338
Rnf8	650	333
Dlx4	559	315
Traf3ip2	713	318
Rab20	1027	460
Gm16861	947	421
Socs4	490	230
Ciao1	1329	571
Pym1	1510	596
Dgkz	1769	769
Rictor	817	399
Bag5	683	339
Ppp1r3b	1239	537
F830208F22Rik	620	355
Tmed10	468	245
Carmil3	808	423
Zmynd11	1256	555
Rpap3	506	246
Fbxo21	638	320
Rrad	1051	483
Card10	764	399
Mnt	2050	930
Gm26876	733	290
Pdhb	748	359
Dnajc14	1237	536
Poc1b	886	402
Ebf4	607	414
Prkaca	941	445
Zfp59	490	229
Birc5	677	318
Brca1	650	238
Gtse1	632	308
Klf7	1119	539
Tstd2	722	350
Suds3	613	265
Gm20604	752	295
Pea15a	722	331
Prpf31	570	277
S1pr2	836	470
Pxmp2	984	432
Urb2	710	351
Gpr55	887	441
Alg12	855	332
Pgm2	750	340
Shank3	1278	692
Flvcr2	551	299
Slc39a13	817	364
Slc16a13	1083	470
Nup214	875	380
Niban1	480	225
Csrnp1	1651	688
Zranb3	540	241
Chd7	483	241
Pdxdc1	560	219
Mob1a	620	256
Rtp4	775	401
Scd2	1289	699
Dip2a	811	362
Notch1	1560	671
Rsad1	821	392
Zmat3	527	304
Shf	963	413
Nhlrc3	555	228
Fbxo2	846	443
Acvr1b	880	454
Scarb2	1114	479
Tnfaip8	1110	527
Usf3	612	254
Tcn2	544	228
Nkiras1	657	299
Fbxo9	976	395
Kif13a	718	395
Zfp365	520	217
Prkra	682	349
Ndufs2	533	242
Mphosph9	777	357
Prdm4	605	234
Med13l	489	246
Lin52	904	383
Vps26c	766	319
Gm11201	608	287
Panx2	611	314
Xpo4	653	320
Rtn4r	714	399
Abcf2	614	341
Trim62	926	453
Ola1	561	292
Sap30	906	410
Snhg17	749	371
Spata18	806	389
Atad5	500	228
Tufm	750	382
Shoc2	641	280
Il7r	1095	475
Gm19585	761	339
Gm46891	641	278
Hoxb4	849	303
Sema4d	1291	664
Gdf11	1150	515
Pomp	868	469
Cep83os	655	267
Txnl1	586	258
Smg5	746	350
Nlrp6	450	242
Cox10	863	341
4930535L15Rik	767	367
Thap7	736	364
Slc35g1	742	372
Dnajc17	641	259
Mrps15	617	283
Herc6	559	244
Itpk1	1306	555
Llph	694	380
Pex16	1132	473
Mcrip1	861	411
Pcdhgc4	775	379
Ssbp3	1096	532
Smarcd2	937	388
Impact	692	278
Carf	549	196
Arrb2	2286	1016
Rnf166	1818	745
Rab39	460	237
Plekhg3	1056	475
Inafm2	1126	613
Slain2	899	406
Ankrd16	1226	655
Yaf2	648	321
Icam5	1917	972
Dnaaf9	549	275
Hmgn2	763	339
Zfp867	608	247
Cdv3	693	270
Uchl3	551	255
Ifi209	642	234
Cd24a	1181	632
Gpank1	1030	441
Wdr82	844	395
Gm26885	1182	580
Atp8b4	1821	725
Bivm	1209	492
Rfc4	516	265
Dusp16	660	259
Sp3	579	248
Pheta1	654	336
Jarid2	1201	586
St8sia6	598	286
Mvb12a	616	324
Tafazzin	665	276
Hs3st3b1	1637	823
4933406I18Rik	635	303
Plekhm1	624	277
Afg3l1	743	314
Rab3gap2	708	336
Dhx58	1324	639
Rab5b	553	230
Lonp1	810	393
Wfs1	791	364
Alas1	690	311
Fst	762	399
Ifit1bl1	716	406
Rps15a	1310	537
Map2k7	877	463
Stat5b	1109	501
Zdhhc18	1785	763
Itga5	945	477
Tlnrd1	882	502
Zfp668	820	396
Sf3b6	541	250
Pacs2	1085	500
Ccdc173	691	264
Srcin1	592	332
Gm14321	1093	456
Heg1	903	496
Slc27a1	1139	453
Grk2	1913	1008
Ttbk2	569	248
Map3k12	1298	564
Aar2	612	265
Jmy	944	518
Ogg1	670	321
Gm20605	2705	1106
Gins2	702	361
Lzts3	535	317
Rprd1a	641	292
Hscb	740	315
Plekhg2	1254	624
Ephx1	842	364
Ddx39b	1351	602
Bcap31	1098	541
Per3	663	333
Rps6	574	271
